Dragon	Stage	Age Category	Hit Dice	Combat Modifier	THAC0	Breath Weapon	Spell Level	Magic Resistance	Special Immunities/Abilities
Brass	7	Mature adult	15	+7	6	14d4+7	2nd	25%	None listed in age table text.
Brass	8	Old	16	+8	5	16d4+8	3rd	30%	None listed in age table text.
Brass	9	Very old	17	+9	4	18d4+9	4th	35%	None listed in age table text.
Brass	10	Venerable	18	+10	3	20d4+10	4th	40%	None listed in age table text.
Brass	11	Wyrm	19	+11	2	22d4+11	4th	45%	None listed in age table text.
Brass	12	Great Wyrm	20	+12	1	24d4+12	4th	50%	None listed in age table text.
Bronze	1	Hatchling	8	+1	14	2d8+1	None	Nil	Innate: A bronze dragon has two breath weapons: a stroke of lightning 100' long and 5' side or a cloud of repulsion gas 20' long, 30' wide, and 30' high. Creatures caught in the gas must save vs. breath weapon or move away from the dragon for two minutes per age level of the dragon, plus 1-6 minutes. Creature caught in the lightning take damage, save vs. breath weapon for half. A bronze dragon casts its spells and uses its magical abilities at 8th level, plus its combat modifier. At birth, bronze dragons have a water breathing ability, can speak with animals at will, and are immune to electricity. As they age, they gain the following additional powers:
Bronze	2	Very young	10	+2	12	4d8+2	None	Nil	Innate: A bronze dragon has two breath weapons: a stroke of lightning 100' long and 5' side or a cloud of repulsion gas 20' long, 30' wide, and 30' high. Creatures caught in the gas must save vs. breath weapon or move away from the dragon for two minutes per age level of the dragon, plus 1-6 minutes. Creature caught in the lightning take damage, save vs. breath weapon for half. A bronze dragon casts its spells and uses its magical abilities at 8th level, plus its combat modifier. At birth, bronze dragons have a water breathing ability, can speak with animals at will, and are immune to electricity. As they age, they gain the following additional powers:
Bronze	3	Young	12	+3	10	6d8+3	None	Nil	Innate: A bronze dragon has two breath weapons: a stroke of lightning 100' long and 5' side or a cloud of repulsion gas 20' long, 30' wide, and 30' high. Creatures caught in the gas must save vs. breath weapon or move away from the dragon for two minutes per age level of the dragon, plus 1-6 minutes. Creature caught in the lightning take damage, save vs. breath weapon for half. A bronze dragon casts its spells and uses its magical abilities at 8th level, plus its combat modifier. At birth, bronze dragons have a water breathing ability, can speak with animals at will, and are immune to electricity. As they age, they gain the following additional powers: | +Young: create food and water and polymorph self three times a day. (Each change in form lasts until the dragon chooses a different form. Reverting to the dragon's normal form does not count as a change.)
Bronze	4	Juvenile	14	+4	8	8d8+4	1st	Nil	Innate: A bronze dragon has two breath weapons: a stroke of lightning 100' long and 5' side or a cloud of repulsion gas 20' long, 30' wide, and 30' high. Creatures caught in the gas must save vs. breath weapon or move away from the dragon for two minutes per age level of the dragon, plus 1-6 minutes. Creature caught in the lightning take damage, save vs. breath weapon for half. A bronze dragon casts its spells and uses its magical abilities at 8th level, plus its combat modifier. At birth, bronze dragons have a water breathing ability, can speak with animals at will, and are immune to electricity. As they age, they gain the following additional powers: | +Young: create food and water and polymorph self three times a day. (Each change in form lasts until the dragon chooses a different form. Reverting to the dragon's normal form does not count as a change.) | +Juvenile: wall of fog once a day
Bronze	5	Young adult	15	+5	7	10d8+5	2nd	20%	Innate: A bronze dragon has two breath weapons: a stroke of lightning 100' long and 5' side or a cloud of repulsion gas 20' long, 30' wide, and 30' high. Creatures caught in the gas must save vs. breath weapon or move away from the dragon for two minutes per age level of the dragon, plus 1-6 minutes. Creature caught in the lightning take damage, save vs. breath weapon for half. A bronze dragon casts its spells and uses its magical abilities at 8th level, plus its combat modifier. At birth, bronze dragons have a water breathing ability, can speak with animals at will, and are immune to electricity. As they age, they gain the following additional powers: | +Young: create food and water and polymorph self three times a day. (Each change in form lasts until the dragon chooses a different form. Reverting to the dragon's normal form does not count as a change.) | +Juvenile: wall of fog once a day
Bronze	6	Adult	16	+6	6	12d8+6	2nd	25%	Innate: A bronze dragon has two breath weapons: a stroke of lightning 100' long and 5' side or a cloud of repulsion gas 20' long, 30' wide, and 30' high. Creatures caught in the gas must save vs. breath weapon or move away from the dragon for two minutes per age level of the dragon, plus 1-6 minutes. Creature caught in the lightning take damage, save vs. breath weapon for half. A bronze dragon casts its spells and uses its magical abilities at 8th level, plus its combat modifier. At birth, bronze dragons have a water breathing ability, can speak with animals at will, and are immune to electricity. As they age, they gain the following additional powers: | +Young: create food and water and polymorph self three times a day. (Each change in form lasts until the dragon chooses a different form. Reverting to the dragon's normal form does not count as a change.) | +Juvenile: wall of fog once a day | +Adult: ESP three times a day
Bronze	7	Mature adult	17	+7	5	14d8+7	2nd	30%	Innate: A bronze dragon has two breath weapons: a stroke of lightning 100' long and 5' side or a cloud of repulsion gas 20' long, 30' wide, and 30' high. Creatures caught in the gas must save vs. breath weapon or move away from the dragon for two minutes per age level of the dragon, plus 1-6 minutes. Creature caught in the lightning take damage, save vs. breath weapon for half. A bronze dragon casts its spells and uses its magical abilities at 8th level, plus its combat modifier. At birth, bronze dragons have a water breathing ability, can speak with animals at will, and are immune to electricity. As they age, they gain the following additional powers: | +Young: create food and water and polymorph self three times a day. (Each change in form lasts until the dragon chooses a different form. Reverting to the dragon's normal form does not count as a change.) | +Juvenile: wall of fog once a day | +Adult: ESP three times a day | +Mature adult: airy water three times a day in a 10' radius per age category of the dragon
Bronze	8	Old	18	+8	4	16d8+8	4th	35%	Innate: A bronze dragon has two breath weapons: a stroke of lightning 100' long and 5' side or a cloud of repulsion gas 20' long, 30' wide, and 30' high. Creatures caught in the gas must save vs. breath weapon or move away from the dragon for two minutes per age level of the dragon, plus 1-6 minutes. Creature caught in the lightning take damage, save vs. breath weapon for half. A bronze dragon casts its spells and uses its magical abilities at 8th level, plus its combat modifier. At birth, bronze dragons have a water breathing ability, can speak with animals at will, and are immune to electricity. As they age, they gain the following additional powers: | +Young: create food and water and polymorph self three times a day. (Each change in form lasts until the dragon chooses a different form. Reverting to the dragon's normal form does not count as a change.) | +Juvenile: wall of fog once a day | +Adult: ESP three times a day | +Mature adult: airy water three times a day in a 10' radius per age category of the dragon | +Old: weather summoning once a day
Bronze	9	Very old	19	+9	3	18d8+9	5th	40%	Innate: A bronze dragon has two breath weapons: a stroke of lightning 100' long and 5' side or a cloud of repulsion gas 20' long, 30' wide, and 30' high. Creatures caught in the gas must save vs. breath weapon or move away from the dragon for two minutes per age level of the dragon, plus 1-6 minutes. Creature caught in the lightning take damage, save vs. breath weapon for half. A bronze dragon casts its spells and uses its magical abilities at 8th level, plus its combat modifier. At birth, bronze dragons have a water breathing ability, can speak with animals at will, and are immune to electricity. As they age, they gain the following additional powers: | +Young: create food and water and polymorph self three times a day. (Each change in form lasts until the dragon chooses a different form. Reverting to the dragon's normal form does not count as a change.) | +Juvenile: wall of fog once a day | +Adult: ESP three times a day | +Mature adult: airy water three times a day in a 10' radius per age category of the dragon | +Old: weather summoning once a day
Bronze	10	Venerable	20	+10	2	20d8+10	6th	45%	Innate: A bronze dragon has two breath weapons: a stroke of lightning 100' long and 5' side or a cloud of repulsion gas 20' long, 30' wide, and 30' high. Creatures caught in the gas must save vs. breath weapon or move away from the dragon for two minutes per age level of the dragon, plus 1-6 minutes. Creature caught in the lightning take damage, save vs. breath weapon for half. A bronze dragon casts its spells and uses its magical abilities at 8th level, plus its combat modifier. At birth, bronze dragons have a water breathing ability, can speak with animals at will, and are immune to electricity. As they age, they gain the following additional powers: | +Young: create food and water and polymorph self three times a day. (Each change in form lasts until the dragon chooses a different form. Reverting to the dragon's normal form does not count as a change.) | +Juvenile: wall of fog once a day | +Adult: ESP three times a day | +Mature adult: airy water three times a day in a 10' radius per age category of the dragon | +Old: weather summoning once a day
Bronze	11	Wyrm	21	+11	1	22d8+11	6th	50%	Innate: A bronze dragon has two breath weapons: a stroke of lightning 100' long and 5' side or a cloud of repulsion gas 20' long, 30' wide, and 30' high. Creatures caught in the gas must save vs. breath weapon or move away from the dragon for two minutes per age level of the dragon, plus 1-6 minutes. Creature caught in the lightning take damage, save vs. breath weapon for half. A bronze dragon casts its spells and uses its magical abilities at 8th level, plus its combat modifier. At birth, bronze dragons have a water breathing ability, can speak with animals at will, and are immune to electricity. As they age, they gain the following additional powers: | +Young: create food and water and polymorph self three times a day. (Each change in form lasts until the dragon chooses a different form. Reverting to the dragon's normal form does not count as a change.) | +Juvenile: wall of fog once a day | +Adult: ESP three times a day | +Mature adult: airy water three times a day in a 10' radius per age category of the dragon | +Old: weather summoning once a day
Bronze	12	Great Wyrm	22	+12	0	24d8+12	8th	55%	Innate: A bronze dragon has two breath weapons: a stroke of lightning 100' long and 5' side or a cloud of repulsion gas 20' long, 30' wide, and 30' high. Creatures caught in the gas must save vs. breath weapon or move away from the dragon for two minutes per age level of the dragon, plus 1-6 minutes. Creature caught in the lightning take damage, save vs. breath weapon for half. A bronze dragon casts its spells and uses its magical abilities at 8th level, plus its combat modifier. At birth, bronze dragons have a water breathing ability, can speak with animals at will, and are immune to electricity. As they age, they gain the following additional powers: | +Young: create food and water and polymorph self three times a day. (Each change in form lasts until the dragon chooses a different form. Reverting to the dragon's normal form does not count as a change.) | +Juvenile: wall of fog once a day | +Adult: ESP three times a day | +Mature adult: airy water three times a day in a 10' radius per age category of the dragon | +Old: weather summoning once a day
Copper	1	Hatchling	7	+1	15	2d6+1	None	Nil	Innate: A copper dragon's breath is either a cloud of slow gas 30' long, 20' wide, and 20' high or a spurt of acid 70' long and 5' wide. Creatures caught in the gas must save vs. breath weapon or be slowed for three minutes per age level of the dragon. Creatures caught in the acid take damage, save vs. breath weapon for half. A copper dragon cast its spells and uses its magical abilities at 7th level, plus its combat modifier. At birth, copper dragons can spider climb (stone surfaces only) and are immune to acid. As they age, they gain the following additional powers:
Copper	2	Very young	9	+2	13	4d6+2	None	Nil	Innate: A copper dragon's breath is either a cloud of slow gas 30' long, 20' wide, and 20' high or a spurt of acid 70' long and 5' wide. Creatures caught in the gas must save vs. breath weapon or be slowed for three minutes per age level of the dragon. Creatures caught in the acid take damage, save vs. breath weapon for half. A copper dragon cast its spells and uses its magical abilities at 7th level, plus its combat modifier. At birth, copper dragons can spider climb (stone surfaces only) and are immune to acid. As they age, they gain the following additional powers:
Copper	3	Young	11	+3	11	6d6+3	None	Nil	Innate: A copper dragon's breath is either a cloud of slow gas 30' long, 20' wide, and 20' high or a spurt of acid 70' long and 5' wide. Creatures caught in the gas must save vs. breath weapon or be slowed for three minutes per age level of the dragon. Creatures caught in the acid take damage, save vs. breath weapon for half. A copper dragon cast its spells and uses its magical abilities at 7th level, plus its combat modifier. At birth, copper dragons can spider climb (stone surfaces only) and are immune to acid. As they age, they gain the following additional powers: | +Young: neutralize poison three times a day
Copper	4	Juvenile	13	+4	9	8d6+4	1st	Nil	Innate: A copper dragon's breath is either a cloud of slow gas 30' long, 20' wide, and 20' high or a spurt of acid 70' long and 5' wide. Creatures caught in the gas must save vs. breath weapon or be slowed for three minutes per age level of the dragon. Creatures caught in the acid take damage, save vs. breath weapon for half. A copper dragon cast its spells and uses its magical abilities at 7th level, plus its combat modifier. At birth, copper dragons can spider climb (stone surfaces only) and are immune to acid. As they age, they gain the following additional powers: | +Young: neutralize poison three times a day | +Juvenile: stone shape twice a day
Copper	5	Young adult	14	+5	8	10d6+5	2nd	10%	Innate: A copper dragon's breath is either a cloud of slow gas 30' long, 20' wide, and 20' high or a spurt of acid 70' long and 5' wide. Creatures caught in the gas must save vs. breath weapon or be slowed for three minutes per age level of the dragon. Creatures caught in the acid take damage, save vs. breath weapon for half. A copper dragon cast its spells and uses its magical abilities at 7th level, plus its combat modifier. At birth, copper dragons can spider climb (stone surfaces only) and are immune to acid. As they age, they gain the following additional powers: | +Young: neutralize poison three times a day | +Juvenile: stone shape twice a day
Copper	6	Adult	15	+6	7	12d6+6	3rd	15%	Innate: A copper dragon's breath is either a cloud of slow gas 30' long, 20' wide, and 20' high or a spurt of acid 70' long and 5' wide. Creatures caught in the gas must save vs. breath weapon or be slowed for three minutes per age level of the dragon. Creatures caught in the acid take damage, save vs. breath weapon for half. A copper dragon cast its spells and uses its magical abilities at 7th level, plus its combat modifier. At birth, copper dragons can spider climb (stone surfaces only) and are immune to acid. As they age, they gain the following additional powers: | +Young: neutralize poison three times a day | +Juvenile: stone shape twice a day | +Adult: forget once a day
Copper	7	Mature adult	16	+7	6	14d6+7	2nd	20%	Innate: A copper dragon's breath is either a cloud of slow gas 30' long, 20' wide, and 20' high or a spurt of acid 70' long and 5' wide. Creatures caught in the gas must save vs. breath weapon or be slowed for three minutes per age level of the dragon. Creatures caught in the acid take damage, save vs. breath weapon for half. A copper dragon cast its spells and uses its magical abilities at 7th level, plus its combat modifier. At birth, copper dragons can spider climb (stone surfaces only) and are immune to acid. As they age, they gain the following additional powers: | +Young: neutralize poison three times a day | +Juvenile: stone shape twice a day | +Adult: forget once a day | +Mature adult: rock to mud once a day
Copper	8	Old	17	+8	5	16d6+8	3rd	25%	Innate: A copper dragon's breath is either a cloud of slow gas 30' long, 20' wide, and 20' high or a spurt of acid 70' long and 5' wide. Creatures caught in the gas must save vs. breath weapon or be slowed for three minutes per age level of the dragon. Creatures caught in the acid take damage, save vs. breath weapon for half. A copper dragon cast its spells and uses its magical abilities at 7th level, plus its combat modifier. At birth, copper dragons can spider climb (stone surfaces only) and are immune to acid. As they age, they gain the following additional powers: | +Young: neutralize poison three times a day | +Juvenile: stone shape twice a day | +Adult: forget once a day | +Mature adult: rock to mud once a day | +Old: move earth once a day
Copper	9	Very old	18	+9	4	18d6+9	3rd	30%	Innate: A copper dragon's breath is either a cloud of slow gas 30' long, 20' wide, and 20' high or a spurt of acid 70' long and 5' wide. Creatures caught in the gas must save vs. breath weapon or be slowed for three minutes per age level of the dragon. Creatures caught in the acid take damage, save vs. breath weapon for half. A copper dragon cast its spells and uses its magical abilities at 7th level, plus its combat modifier. At birth, copper dragons can spider climb (stone surfaces only) and are immune to acid. As they age, they gain the following additional powers: | +Young: neutralize poison three times a day | +Juvenile: stone shape twice a day | +Adult: forget once a day | +Mature adult: rock to mud once a day | +Old: move earth once a day
Copper	10	Venerable	19	+10	3	20d6+10	4th	35%	Innate: A copper dragon's breath is either a cloud of slow gas 30' long, 20' wide, and 20' high or a spurt of acid 70' long and 5' wide. Creatures caught in the gas must save vs. breath weapon or be slowed for three minutes per age level of the dragon. Creatures caught in the acid take damage, save vs. breath weapon for half. A copper dragon cast its spells and uses its magical abilities at 7th level, plus its combat modifier. At birth, copper dragons can spider climb (stone surfaces only) and are immune to acid. As they age, they gain the following additional powers: | +Young: neutralize poison three times a day | +Juvenile: stone shape twice a day | +Adult: forget once a day | +Mature adult: rock to mud once a day | +Old: move earth once a day
Copper	11	Wyrm	20	+11	2	22d6+11	5th	40%	Innate: A copper dragon's breath is either a cloud of slow gas 30' long, 20' wide, and 20' high or a spurt of acid 70' long and 5' wide. Creatures caught in the gas must save vs. breath weapon or be slowed for three minutes per age level of the dragon. Creatures caught in the acid take damage, save vs. breath weapon for half. A copper dragon cast its spells and uses its magical abilities at 7th level, plus its combat modifier. At birth, copper dragons can spider climb (stone surfaces only) and are immune to acid. As they age, they gain the following additional powers: | +Young: neutralize poison three times a day | +Juvenile: stone shape twice a day | +Adult: forget once a day | +Mature adult: rock to mud once a day | +Old: move earth once a day
Copper	12	Great Wyrm	21	+12	1	24d6+12	6th	45%	Innate: A copper dragon's breath is either a cloud of slow gas 30' long, 20' wide, and 20' high or a spurt of acid 70' long and 5' wide. Creatures caught in the gas must save vs. breath weapon or be slowed for three minutes per age level of the dragon. Creatures caught in the acid take damage, save vs. breath weapon for half. A copper dragon cast its spells and uses its magical abilities at 7th level, plus its combat modifier. At birth, copper dragons can spider climb (stone surfaces only) and are immune to acid. As they age, they gain the following additional powers: | +Young: neutralize poison three times a day | +Juvenile: stone shape twice a day | +Adult: forget once a day | +Mature adult: rock to mud once a day | +Old: move earth once a day | +Great Wyrm: wall of stone once a day. A copper dragon can jump 30 yards forward or sideways, reaching heights up to 20' at mid jump. They can jump 30' straight up
Gold	1	Hatchling	10	+1	11	2d12+1	None	Nil	None listed in age table text.
Gold	2	Very young	12	+2	9	4d12+2	None	Nil	None listed in age table text.
Gold	3	Young	14	+3	7	6d12+3	None	Nil	None listed in age table text.
Gold	4	Juvenile	16	+4	5	8d12+4	1st	Nil	None listed in age table text.
Gold	5	Young adult	17	+5	4	10d12+5	2nd	35%	None listed in age table text.
Gold	6	Adult	18	+6	3	12d12+6	2nd	40%	None listed in age table text.
Gold	7	Mature adult	19	+7	2	14d12+7	3rd	45%	None listed in age table text.
Gold	8	Old	20	+8	1	16d12+8	5th	50%	None listed in age table text.
Gold	9	Very old	21	+9	0	18d12+9	6th	55%	None listed in age table text.
Gold	10	Venerable	22	+10	-1	20d12+102	7th	60%	None listed in age table text.
Gold	11	Wyrm	23	+11	-2	22d12+112	9th	65%	None listed in age table text.
Gold	12	Great Wyrm	24	+12	-3	24d12+122	11th	70%	None listed in age table text.
Silver	1	Hatchling	9	+1	11	2d10+1	None	Nil	None listed in age table text.
Silver	2	Very young	11	+2	9	4d10+2	None	Nil	None listed in age table text.
Silver	3	Young	13	+3	7	6d10+3	None	Nil	None listed in age table text.
Silver	4	Juvenile	15	+4	5	8d10+4	2nd	Nil	None listed in age table text.
Silver	5	Young adult	16	+5	4	10d10+5	2nd	25%	None listed in age table text.
Silver	6	Adult	17	+6	3	12d10+6	3rd	30%	None listed in age table text.
Silver	7	Mature adult	18	+7	2	14d10+7	3rd	35%	None listed in age table text.
Silver	8	Old	19	+8	1	16d10+8	5th	40%	None listed in age table text.
Silver	9	Very old	20	+9	0	18d10+9	5th	45%	None listed in age table text.
Silver	10	Venerable	21	+10	-1	20d10+102	7th	50%	None listed in age table text.
Silver	11	Wyrm	22	+11	-2	22d10+112	7th	55%	None listed in age table text.
Silver	12	Great Wyrm	23	+12	-3	24d10+122	9th	60%	None listed in age table text.
Amethyst	1	Hatchling	8	+1	13	2d8+1	None	Nil	Innate: An amethyst dragon's breath weapon is a faceted, violet lozenge, which it can spit into the midst of enemies, up to 75 feet away. The lozenge explodes with concussive force, causing the indicated damage to all creatures within 60' of the impact (save vs. breath weapon for half damage). In addition, all creatures size huge and smaller must save vs. paralyzation or be knocked down. Any creature taking damage from the blast has a 50% chance of being knocked unconscious for one round per age level of the dragon, plus 1d8 rounds. An amethyst dragon casts spells and uses its magical abilities at 9th level, plus its combat modifier. Amethyst dragons are born with an innate water breathing ability and an immunity to poisons. They are also immune to force attacks and effects, such as those from beads of force, Bigby's hand spells, wall of force, and Otiluke's resilient sphere. As they age, they gain the following additional powers:
Amethyst	2	Very young	10	+2	11	4d8+2	None	Nil	Innate: An amethyst dragon's breath weapon is a faceted, violet lozenge, which it can spit into the midst of enemies, up to 75 feet away. The lozenge explodes with concussive force, causing the indicated damage to all creatures within 60' of the impact (save vs. breath weapon for half damage). In addition, all creatures size huge and smaller must save vs. paralyzation or be knocked down. Any creature taking damage from the blast has a 50% chance of being knocked unconscious for one round per age level of the dragon, plus 1d8 rounds. An amethyst dragon casts spells and uses its magical abilities at 9th level, plus its combat modifier. Amethyst dragons are born with an innate water breathing ability and an immunity to poisons. They are also immune to force attacks and effects, such as those from beads of force, Bigby's hand spells, wall of force, and Otiluke's resilient sphere. As they age, they gain the following additional powers:
Amethyst	3	Young	12	+3	9	6d8+3	None	Nil	Innate: An amethyst dragon's breath weapon is a faceted, violet lozenge, which it can spit into the midst of enemies, up to 75 feet away. The lozenge explodes with concussive force, causing the indicated damage to all creatures within 60' of the impact (save vs. breath weapon for half damage). In addition, all creatures size huge and smaller must save vs. paralyzation or be knocked down. Any creature taking damage from the blast has a 50% chance of being knocked unconscious for one round per age level of the dragon, plus 1d8 rounds. An amethyst dragon casts spells and uses its magical abilities at 9th level, plus its combat modifier. Amethyst dragons are born with an innate water breathing ability and an immunity to poisons. They are also immune to force attacks and effects, such as those from beads of force, Bigby's hand spells, wall of force, and Otiluke's resilient sphere. As they age, they gain the following additional powers: | +Young: water walking six times a day
Amethyst	4	Juvenile	14	+4	7	8d8+4	1st	Nil	Innate: An amethyst dragon's breath weapon is a faceted, violet lozenge, which it can spit into the midst of enemies, up to 75 feet away. The lozenge explodes with concussive force, causing the indicated damage to all creatures within 60' of the impact (save vs. breath weapon for half damage). In addition, all creatures size huge and smaller must save vs. paralyzation or be knocked down. Any creature taking damage from the blast has a 50% chance of being knocked unconscious for one round per age level of the dragon, plus 1d8 rounds. An amethyst dragon casts spells and uses its magical abilities at 9th level, plus its combat modifier. Amethyst dragons are born with an innate water breathing ability and an immunity to poisons. They are also immune to force attacks and effects, such as those from beads of force, Bigby's hand spells, wall of force, and Otiluke's resilient sphere. As they age, they gain the following additional powers: | +Young: water walking six times a day | +Juvenile: neutralize poison six times a day
Amethyst	5	Young adult	15	+5	6	10d8+5	2nd	25%	Innate: An amethyst dragon's breath weapon is a faceted, violet lozenge, which it can spit into the midst of enemies, up to 75 feet away. The lozenge explodes with concussive force, causing the indicated damage to all creatures within 60' of the impact (save vs. breath weapon for half damage). In addition, all creatures size huge and smaller must save vs. paralyzation or be knocked down. Any creature taking damage from the blast has a 50% chance of being knocked unconscious for one round per age level of the dragon, plus 1d8 rounds. An amethyst dragon casts spells and uses its magical abilities at 9th level, plus its combat modifier. Amethyst dragons are born with an innate water breathing ability and an immunity to poisons. They are also immune to force attacks and effects, such as those from beads of force, Bigby's hand spells, wall of force, and Otiluke's resilient sphere. As they age, they gain the following additional powers: | +Young: water walking six times a day | +Juvenile: neutralize poison six times a day
Amethyst	6	Adult	16	+6	5	12d8+6	3rd	30%	Innate: An amethyst dragon's breath weapon is a faceted, violet lozenge, which it can spit into the midst of enemies, up to 75 feet away. The lozenge explodes with concussive force, causing the indicated damage to all creatures within 60' of the impact (save vs. breath weapon for half damage). In addition, all creatures size huge and smaller must save vs. paralyzation or be knocked down. Any creature taking damage from the blast has a 50% chance of being knocked unconscious for one round per age level of the dragon, plus 1d8 rounds. An amethyst dragon casts spells and uses its magical abilities at 9th level, plus its combat modifier. Amethyst dragons are born with an innate water breathing ability and an immunity to poisons. They are also immune to force attacks and effects, such as those from beads of force, Bigby's hand spells, wall of force, and Otiluke's resilient sphere. As they age, they gain the following additional powers: | +Young: water walking six times a day | +Juvenile: neutralize poison six times a day | +Adult: shape change, as a druid, into a reptile, bird, or mammal, three times a day, with each form usable only once per day
Amethyst	7	Mature adult	17	+7	4	14d8+7	5th	35%	Innate: An amethyst dragon's breath weapon is a faceted, violet lozenge, which it can spit into the midst of enemies, up to 75 feet away. The lozenge explodes with concussive force, causing the indicated damage to all creatures within 60' of the impact (save vs. breath weapon for half damage). In addition, all creatures size huge and smaller must save vs. paralyzation or be knocked down. Any creature taking damage from the blast has a 50% chance of being knocked unconscious for one round per age level of the dragon, plus 1d8 rounds. An amethyst dragon casts spells and uses its magical abilities at 9th level, plus its combat modifier. Amethyst dragons are born with an innate water breathing ability and an immunity to poisons. They are also immune to force attacks and effects, such as those from beads of force, Bigby's hand spells, wall of force, and Otiluke's resilient sphere. As they age, they gain the following additional powers: | +Young: water walking six times a day | +Juvenile: neutralize poison six times a day | +Adult: shape change, as a druid, into a reptile, bird, or mammal, three times a day, with each form usable only once per day
Amethyst	8	Old	18	+8	3	16d8+8	6th	40%	Innate: An amethyst dragon's breath weapon is a faceted, violet lozenge, which it can spit into the midst of enemies, up to 75 feet away. The lozenge explodes with concussive force, causing the indicated damage to all creatures within 60' of the impact (save vs. breath weapon for half damage). In addition, all creatures size huge and smaller must save vs. paralyzation or be knocked down. Any creature taking damage from the blast has a 50% chance of being knocked unconscious for one round per age level of the dragon, plus 1d8 rounds. An amethyst dragon casts spells and uses its magical abilities at 9th level, plus its combat modifier. Amethyst dragons are born with an innate water breathing ability and an immunity to poisons. They are also immune to force attacks and effects, such as those from beads of force, Bigby's hand spells, wall of force, and Otiluke's resilient sphere. As they age, they gain the following additional powers: | +Young: water walking six times a day | +Juvenile: neutralize poison six times a day | +Adult: shape change, as a druid, into a reptile, bird, or mammal, three times a day, with each form usable only once per day | +Old: otiluke's resilient sphere three times a day
Amethyst	9	Very old	19	+9	2	18d8+9	8th	45%	Innate: An amethyst dragon's breath weapon is a faceted, violet lozenge, which it can spit into the midst of enemies, up to 75 feet away. The lozenge explodes with concussive force, causing the indicated damage to all creatures within 60' of the impact (save vs. breath weapon for half damage). In addition, all creatures size huge and smaller must save vs. paralyzation or be knocked down. Any creature taking damage from the blast has a 50% chance of being knocked unconscious for one round per age level of the dragon, plus 1d8 rounds. An amethyst dragon casts spells and uses its magical abilities at 9th level, plus its combat modifier. Amethyst dragons are born with an innate water breathing ability and an immunity to poisons. They are also immune to force attacks and effects, such as those from beads of force, Bigby's hand spells, wall of force, and Otiluke's resilient sphere. As they age, they gain the following additional powers: | +Young: water walking six times a day | +Juvenile: neutralize poison six times a day | +Adult: shape change, as a druid, into a reptile, bird, or mammal, three times a day, with each form usable only once per day | +Old: otiluke's resilient sphere three times a day | +Very old: reflecting pool once a day
Amethyst	10	Venerable	20	+10	1	20d8+10	10th	50%	Innate: An amethyst dragon's breath weapon is a faceted, violet lozenge, which it can spit into the midst of enemies, up to 75 feet away. The lozenge explodes with concussive force, causing the indicated damage to all creatures within 60' of the impact (save vs. breath weapon for half damage). In addition, all creatures size huge and smaller must save vs. paralyzation or be knocked down. Any creature taking damage from the blast has a 50% chance of being knocked unconscious for one round per age level of the dragon, plus 1d8 rounds. An amethyst dragon casts spells and uses its magical abilities at 9th level, plus its combat modifier. Amethyst dragons are born with an innate water breathing ability and an immunity to poisons. They are also immune to force attacks and effects, such as those from beads of force, Bigby's hand spells, wall of force, and Otiluke's resilient sphere. As they age, they gain the following additional powers: | +Young: water walking six times a day | +Juvenile: neutralize poison six times a day | +Adult: shape change, as a druid, into a reptile, bird, or mammal, three times a day, with each form usable only once per day | +Old: otiluke's resilient sphere three times a day | +Very old: reflecting pool once a day | +Venerable: control weather once a day
Amethyst	11	Wyrm	21	+11	0	22d8+11	11th	55%	Innate: An amethyst dragon's breath weapon is a faceted, violet lozenge, which it can spit into the midst of enemies, up to 75 feet away. The lozenge explodes with concussive force, causing the indicated damage to all creatures within 60' of the impact (save vs. breath weapon for half damage). In addition, all creatures size huge and smaller must save vs. paralyzation or be knocked down. Any creature taking damage from the blast has a 50% chance of being knocked unconscious for one round per age level of the dragon, plus 1d8 rounds. An amethyst dragon casts spells and uses its magical abilities at 9th level, plus its combat modifier. Amethyst dragons are born with an innate water breathing ability and an immunity to poisons. They are also immune to force attacks and effects, such as those from beads of force, Bigby's hand spells, wall of force, and Otiluke's resilient sphere. As they age, they gain the following additional powers: | +Young: water walking six times a day | +Juvenile: neutralize poison six times a day | +Adult: shape change, as a druid, into a reptile, bird, or mammal, three times a day, with each form usable only once per day | +Old: otiluke's resilient sphere three times a day | +Very old: reflecting pool once a day | +Venerable: control weather once a day
Amethyst	12	Great Wyrm	22	+12	-1	24d8+12	12th	60%	Innate: An amethyst dragon's breath weapon is a faceted, violet lozenge, which it can spit into the midst of enemies, up to 75 feet away. The lozenge explodes with concussive force, causing the indicated damage to all creatures within 60' of the impact (save vs. breath weapon for half damage). In addition, all creatures size huge and smaller must save vs. paralyzation or be knocked down. Any creature taking damage from the blast has a 50% chance of being knocked unconscious for one round per age level of the dragon, plus 1d8 rounds. An amethyst dragon casts spells and uses its magical abilities at 9th level, plus its combat modifier. Amethyst dragons are born with an innate water breathing ability and an immunity to poisons. They are also immune to force attacks and effects, such as those from beads of force, Bigby's hand spells, wall of force, and Otiluke's resilient sphere. As they age, they gain the following additional powers: | +Young: water walking six times a day | +Juvenile: neutralize poison six times a day | +Adult: shape change, as a druid, into a reptile, bird, or mammal, three times a day, with each form usable only once per day | +Old: otiluke's resilient sphere three times a day | +Very old: reflecting pool once a day | +Venerable: control weather once a day
